DemandArea_Id;Region;ElArea_Id;LpgArea_Id;Num_Buildings
521;Nyamagabe;514;8;5449
522;Nyamagabe;408;8;5803
523;Nyamagabe;409;8;3419
524;Nyamagabe;411;8;8628
525;Nyamagabe;412;8;4126
526;Nyamagabe;413;8;6739
527;Nyamagabe;406;8;5855
528;Nyamagabe;403;8;1992
529;Nyamagabe;410;8;1879
530;Nyamagabe;399;8;5997
531;Nyamagabe;401;8;3540
532;Nyamagabe;402;8;4203
533;Nyamagabe;405;8;3760
534;Nyamagabe;404;8;3702
535;Nyanza;436;4;6963
536;Nyanza;433;4;3050
537;Nyanza;442;4;9491
538;Nyanza;437;4;2018
539;Nyanza;444;4;6284
540;Nyanza;441;4;4497
541;Nyanza;443;4;7622
542;Nyanza;445;4;6162
543;Nyanza;438;4;2681
544;Nyanza;439;4;2795
545;Nyanza;564;4;5127
546;Nyanza;448;4;4706
547;Nyanza;432;4;3409
548;Nyanza;447;4;7319
549;Nyanza;434;4;2280
550;Nyanza;440;4;6266
551;Nyanza;446;4;4404
552;Nyanza;435;4;2974
553;Nyaruguru;471;6;6504
554;Nyaruguru;478;6;6312
555;Nyaruguru;472;6;3467
556;Nyaruguru;468;6;9116
557;Nyaruguru;475;6;303
558;Nyaruguru;466;6;4476
559;Nyaruguru;473;6;6294
560;Nyaruguru;477;6;3642
561;Nyaruguru;467;6;2187
562;Nyaruguru;469;6;6086
563;Nyaruguru;470;6;4705
564;Nyaruguru;463;6;5148
565;Nyaruguru;465;6;2351
566;Nyaruguru;474;6;4268
567;Nyaruguru;464;6;1850
568;Nyaruguru;476;6;5755
569;Ruhango;505;9;7362
570;Ruhango;506;9;8489
571;Ruhango;496;9;5266
572;Ruhango;513;9;5278
573;Ruhango;498;9;3886
574;Ruhango;261;9;9257
575;Ruhango;497;9;2482
576;Ruhango;511;9;2348
577;Ruhango;512;9;4008
578;Ruhango;501;9;3622
579;Ruhango;499;9;5598
580;Ruhango;509;9;3682
581;Ruhango;507;9;5839
582;Ruhango;510;9;6125
583;Ruhango;500;9;1806
584;Ruhango;504;9;2616
585;Ruhango;502;9;3512
586;Ruhango;508;9;5367
587;Ruhango;503;9;4245
