DemandArea_Id	Region	ElArea_Id	LpgArea_Id	Area_Type	Aggregated_Point_Lat	Aggregated_Point_Long	Census_Electricity_Demand	Census_CookingHeating_Demand	Census_Cooking_Demand	Census_Heating_Demand
145	Rwamagana	578	24	urban	-2.0829381471389645	30.304937568119893	6287924.850000434	5788071.458999812	5323911.758999979	464159.6999999761
146	Rwamagana	582	24	rural	-2.059349419815531	30.33532633144897	1181437.6499999412	6573296.135999662	6046167.335999976	527128.7999999665
146	Rwamagana	582	24	urban	-2.0754378378378378	30.311997297297296	2885.4750000000013	67409.07899999995	62003.379	5405.700000000002
147	Rwamagana	577	24	rural	-2.063342364170338	30.400396512481645	349288.5750000077	5060235.592499963	4654442.842499981	405792.74999998504
147	Rwamagana	577	24	urban	-2.0134057142857142	30.278082857142856	6391.874999999998	69230.94599999995	63679.146	5551.800000000001
148	Rwamagana	566	24	rural	-2.029124081632653	30.449118905380338	3060539.3249996086	10339095.224999793	9509977.725000465	829117.4999999211
148	Rwamagana	566	24	urban	-1.96708	30.391671764705883	17458.950000000008	317004.85800000065	291583.45799999963	25421.39999999994
149	Rwamagana	567	24	rural	-1.9863075616659929	30.43172304892843	430337.5500000242	4749607.26900003	4368724.5689999815	380882.69999998936
149	Rwamagana	567	24	urban	-1.9710932997331752	30.433710791580197	737439.7500000265	6575118.0029997155	6047843.102999976	527274.8999999709
150	Rwamagana	568	24	rural	-2.0353857142857144	30.27407142857143	733020.225	184008.56699999998	169252.467	14756.099999999999
150	Rwamagana	568	24	urban			0.0	0.0	0.0	0.0
151	Gasabo	82	2	rural	-1.92576213592233	30.20669611650485	23704.725000000035	200405.36999999985	184334.37000000008	16071.000000000025
